order_id,customer_id,order_date,order_amount,order_status,shipping_address,payment_id,payment_date,payment_amount,payment_method,payment_status
d27d8139-a252-4402-9fd0-23a85592285e,2824,28-05-2023 00:00,22.26,pending,"32181 Johnson Course Apt. 389, New Jamesside, MT 29394",63c7d80b-15db-451c-bec8-16bccfcaffcd,08-01-2023 00:11,5.23,credit card,pending
c5c2b825-8f6c-413b-8629-d6016c9cfaf0,2674,25-01-2023 00:00,55.45,shipped,"3116 Henderson Mountain Apt. 106, Laurenville, IA 25613",33a9b7ec-b03c-4699-8383-85ee5cccff7f,29-01-2022 00:07,374.41,paypal,completed
af18057f-1470-44b9-81ee-6047e255c398,6925,11-11-2022 00:00,292.9,delivered,"1354 Samuel Plains, Cherylhaven, AL 88039",b60a755a-b39c-4519-9c79-5355a45480d4,10-01-2022 00:12,493.68,paypal,failed
91aa0969-a980-47e2-94f1-0934138f7190,2139,07-05-2024 00:00,32.45,shipped,"41182 Campbell Fords, Jamesview, NY 64533",5df2f9e6-fcd4-497b-8205-7986715d6a60,04-01-2021 00:09,261.47,credit card,completed
ca998b1a-b734-4070-9262-66064771313a,6573,06-03-2021 00:00,64.66,pending,"957 Coleman Summit Suite 574, Johnville, VA 25743",fa51b5d3-7693-4a2b-a0dc-320fe4ac8fc4,06-01-2021 00:06,433.7,bank transfer,pending
2c610330-5b13-4ea1-89d5-e22b4ea87343,3591,05-09-2021 00:00,232.32,delivered,"37498 Hooper Village, West Jeremy, HI 40119",7c870567-9478-4639-aed6-3453daf9cea0,05-01-2022 00:01,420,bank transfer,completed
f5498fa8-22e6-49d8-bcb3-14e6322dc0a8,9317,09-08-2020 00:00,457.19,delivered,"90229 Miller Gateway Apt. 869, Port Alexandra, NV 58529",651dd5af-db80-4662-81e0-e81fa2dd49f7,27-01-2020 00:07,219.44,paypal,failed
9312768e-57e6-4679-9e4d-dd57e26dd93b,3060,05-01-2021 00:00,72.91,pending,"46584 Justin Hills, Grimesmouth, ND 63984",58f3cc07-f7d6-4556-8be3-e8e601e7ace1,30-01-2020 00:07,389.23,bank transfer,failed
687bc393-d069-43c7-83f3-e0c4806cd9ce,3705,01-11-2021 00:00,139.88,delivered,"5339 Hall Trail Suite 057, Hughesberg, NM 05353",e3c79bd3-f020-4f21-9dea-cc28261d4c14,26-01-2024 00:09,233.12,bank transfer,completed
007d731a-1c94-4075-a0e6-f2ba0c139e80,8744,15-12-2021 00:00,129.07,pending,"PSC 5064, Box 3171, APO AP 28302",d6598486-94a4-4ea8-b315-774e34951f8c,17-01-2021 00:10,325.53,credit card,completed
f6faa4d4-d88f-410b-a2fa-72361005d08f,6559,11-02-2023 00:00,402.29,shipped,"847 Garcia Squares Apt. 836, Beasleychester, MA 59942",46dd50f8-dcd4-4058-839e-8b5f4fa62c5f,03-01-2021 00:11,95.3,paypal,pending
f6faa4d4-d88f-410b-a2fa-72361005d08f,6559,11-02-2023 00:00,402.29,shipped,"847 Garcia Squares Apt. 836, Beasleychester, MA 59942",f7180e1e-b299-428e-b2ae-4337e39470f7,09-01-2024 00:01,344.39,credit card,pending
a7842ff8-0936-477b-89b0-8fb43c1fe63d,8350,02-02-2025 00:00,78.69,shipped,"5604 Bell Ports, East Diane, IN 14685",cedfc4b0-055b-4287-8d48-26ab770da858,04-01-2023 00:08,148.06,credit card,completed
2e61396d-d5dd-44d3-b2b1-5475280c9cd7,1152,05-10-2024 00:00,234.56,delivered,"7584 Jessica Common, Morrisonburgh, ND 39005",216ca17f-aa3a-4cd5-be7b-81c944c8572a,29-01-2022 00:05,222.65,credit card,pending
4f6d61ab-3b48-44f8-a3ec-4bf36b7a7dd9,3200,05-10-2024 00:00,139.59,shipped,"84249 Wayne Extension Apt. 299, Meganshire, AZ 04219",23fa38b9-6f95-43d6-bf3e-ab2ece0a8c3e,30-01-2023 00:03,247.96,credit card,pending
30762a45-1869-498f-a740-5dca12973246,2684,15-09-2023 00:00,183.3,delivered,"08330 Robert Stravenue, Garciaberg, AL 72636",9dfc55a0-9b27-4e51-a8d5-6ae40af37ce7,31-01-2024 00:03,112.52,credit card,failed
350cee3c-95fd-4234-9d7b-e325f3d6f338,8711,15-08-2023 00:00,118.99,pending,"87072 Bryant Centers Suite 406, Lisaborough, OR 10073",ef4793b4-301f-47d0-a71e-f4c63ca62f1e,01-01-2021 00:03,144.19,credit card,completed
3f803d6a-5862-4b1b-974b-0fe8f3c129bf,7548,10-04-2023 00:00,342.96,delivered,"USS Allen, FPO AE 13725",48716ad1-be6a-4a4e-a2c9-8703c484168d,20-01-2023 00:02,185.7,bank transfer,completed
240cef4b-3094-4e6c-8fa0-ec4ee6ad7c9c,4114,09-04-2024 00:00,134.81,delivered,"55609 Joyce Brook Suite 899, Phillipsborough, MA 30650",054a56c8-9571-47a0-8bd1-3d92474aaf6e,24-01-2022 00:05,397.06,paypal,pending
2bfdfcde-7a5e-4205-8274-7b3af6b84ff4,3414,15-04-2021 00:00,21.97,shipped,"1797 Ferguson Ways Suite 805, North Kaylastad, GA 85304",ca025987-8952-4e1b-be37-ac4bc40977b4,08-01-2020 00:04,300.65,bank transfer,completed
aead2561-acaf-4a6a-a8fc-e5ccd98ec5ef,4185,04-06-2022 00:00,361.99,pending,"7177 Jones Cape Apt. 051, Lake John, HI 72840",b1799c6a-0753-454a-831d-89a915c02819,27-01-2022 00:04,261.95,credit card,failed
17f29ec8-e94f-4f14-bc8f-df74060decb1,7071,12-11-2024 00:00,43.79,delivered,"685 Stone Well Apt. 998, Rodriguezberg, FL 74765",e2a12bdc-4e7f-4a90-8f77-fb18ed47f02d,26-01-2021 00:08,83.43,bank transfer,completed
17f29ec8-e94f-4f14-bc8f-df74060decb1,7071,12-11-2024 00:00,43.79,delivered,"685 Stone Well Apt. 998, Rodriguezberg, FL 74765",8b40c948-29b7-45c7-b452-26b5e2116195,17-01-2022 00:09,269.96,bank transfer,failed
3a33d124-2b0b-4520-8a81-69b390f0b455,5526,22-04-2020 00:00,282.34,delivered,"92712 Schultz Lodge, Sanfordfurt, AL 05445",e67454aa-2895-46f5-9b70-f19e5204c3d6,09-01-2023 00:05,110.83,bank transfer,pending
b0eda4dd-53ae-4305-a162-23a0018861a2,7658,18-02-2023 00:00,249.4,shipped,"4789 Hamilton Spur, West Wendy, NM 47588",65a0cb48-f61b-4449-9e5a-b56307c53f27,25-01-2023 00:11,7.81,credit card,failed
16af9f36-6575-4b20-85f3-48a865a8498a,4986,04-10-2021 00:00,160.04,delivered,"97218 Jennifer Courts, Dawnmouth, LA 35120",708e164b-5ddc-4e63-b831-edd5f4c915ea,02-01-2023 00:09,464.75,credit card,failed
058a7d20-fa4b-4a8f-992a-21f9f8897b7a,2976,06-05-2022 00:00,363.43,pending,"89935 Ryan Stream Apt. 756, Port Margaret, MH 80836",539d5973-2c1f-4d45-b0a4-d79717cdf6fd,07-01-2021 00:05,475.05,credit card,pending
058a7d20-fa4b-4a8f-992a-21f9f8897b7a,2976,06-05-2022 00:00,363.43,pending,"89935 Ryan Stream Apt. 756, Port Margaret, MH 80836",0d0b52c5-354f-492a-8e21-2b942a876dde,14-01-2020 00:12,430.55,bank transfer,completed
38f14b15-e2f2-4408-b607-16e146914ae3,4180,03-11-2023 00:00,155.16,pending,"16373 Rodriguez Mall, Lake Maryshire, DE 59549",b05a2bbc-4cbe-454b-9c4a-46b7bcc4beb4,07-01-2020 00:08,82.7,paypal,failed
d7621e03-da0d-41de-abcb-114102de9544,3068,06-02-2023 00:00,322.56,pending,"USCGC Craig, FPO AP 37978",1da3a4b2-8c61-4f66-82c8-fa2e8af9747f,24-01-2024 00:03,18.48,credit card,completed
617ee1de-1092-4959-b281-d892f6dd5eb7,2680,01-09-2024 00:00,437.63,delivered,"106 Brian Centers, West Karen, GA 38068",8f5d1235-bded-42a6-8188-7bf45aeafa46,15-01-2024 00:09,264.38,credit card,failed
68e678b0-5908-422b-b467-75bceb3c5418,2625,05-02-2022 00:00,474.32,shipped,"3536 Eugene Forges, Jamesburgh, TN 74857",0d7358b9-030a-4f12-866a-9cd2cad3d0a3,16-01-2024 00:11,62.25,credit card,completed
6367e4e7-d0a2-460e-9bb0-c41e1f9a1f36,4241,24-06-2023 00:00,218.32,delivered,"3865 Tucker Orchard Apt. 827, East Chris, SD 37307",a12ec4fb-8e9a-4546-8052-ba33184b0bbb,26-01-2024 00:04,345.54,paypal,failed
